"_id","dates.created","isaSupportLayer.solvent","isaSupportLayer.nonSolvent","isaSupportLayer.dopeSolutionAdditiveConcentrationUnit","isaSupportLayer.coagulationMediumAdditivesConcentrationUnit","isaSupportLayer.polymerWeightConcentrationInDopeSolution","isaSupportLayer.castingThickness","supportLayer.postTreatment","supportLayer.postTreatmentData","interfacialPolymerization.phase1","interfacialPolymerization.phase2","interfacialPolymerization.monomer1ConcentrationUnit","interfacialPolymerization.additive1ConcentrationUnit","interfacialPolymerization.monomer2ConcentrationUnit","interfacialPolymerization.additive2ConcentrationUnit","interfacialPolymerization.monomer1Smiles","interfacialPolymerization.monomer1Concentration","interfacialPolymerization.monomer2Smiles","interfacialPolymerization.monomer2Concentration","testConditions.solventMixture","testConditions.filtrationMode","testConditions.hydraulicP","testConditions.temperature","testConditions.couponSize","testConditions.solvent1","soluteChoice.solute1.category","soluteChoice.solute1.name","soluteChoice.solute1.molecularWeight","soluteChoice.solute1.concentration","soluteChoice.solute1.concentrationUnit","soluteChoice.multiple","characterizationResults.characterizationData","characterizationResults.topLayerThickness","characterizationResults.roughness","characterizationResults.contactAngle","published","suspicious","status","structure","chemistry","modification","supportLayerChemistry","postTreatment","report._id","report.dates.created","report.publicationDate","report.title","report.type","report.source","report.reference","report.creator","report.author.lastName","report.link","report.__v","family","name","type","topLayerDepositionMethod","postTreatmentData","supportLayerType","filtrationResults.permeance","filtrationResults.rejection1","omdId","__v","isaSupportLayer.additivesInDopeSolutionSmiles","isaSupportLayer.dopeSolutionAdditiveConcentration","tfnData.positionOfNanoparticles","tfnData.nanomaterialName","tfnData.nanomaterialConcentration","filtrationResults.solventPermeance","isaSupportLayer.solventRatio","isaSupportLayer.additiveInCoagulationMediumSmiles","isaSupportLayer.coagulationMediumAdditivesConcentration","supportLayerChemistryOther","interfacialPolymerization.additive1Smiles","interfacialPolymerization.additive1Concentration","filtrationResults.mwco","characterizationResults.totalThickness","chemistryOther","interfacialPolymerization.additive2Smiles","interfacialPolymerization.additive2Concentration","testConditions.solvent2","testConditions.solventRatio","soluteChoice.solute2.category","soluteChoice.solute2.name","soluteChoice.solute2.molecularWeight","soluteChoice.solute2.concentration","soluteChoice.solute2.concentrationUnit","soluteChoice.solute3.category","soluteChoice.solute3.name","soluteChoice.solute3.molecularWeight","soluteChoice.solute3.concentration","soluteChoice.solute3.concentrationUnit","soluteChoice.solute4.category","soluteChoice.solute4.name","soluteChoice.solute4.molecularWeight","soluteChoice.solute4.concentration","soluteChoice.solute4.concentrationUnit","soluteChoice.solute5.category","soluteChoice.solute5.name","soluteChoice.solute5.molecularWeight","soluteChoice.solute5.concentration","soluteChoice.solute5.concentrationUnit","soluteChoice.solute6.category","soluteChoice.solute6.name","soluteChoice.solute6.molecularWeight","soluteChoice.solute6.concentration","soluteChoice.solute6.concentrationUnit","filtrationResults.rejection2","filtrationResults.rejection3","filtrationResults.rejection4","filtrationResults.rejection5","filtrationResults.rejection6","soluteChoice.solute7.category","soluteChoice.solute7.name","soluteChoice.solute7.molecularWeight","soluteChoice.solute7.concentration","soluteChoice.solute7.concentrationUnit","soluteChoice.solute8.category","soluteChoice.solute8.name","soluteChoice.solute8.molecularWeight","soluteChoice.solute8.concentration","soluteChoice.solute8.concentrationUnit","soluteChoice.solute9.category","soluteChoice.solute9.name","soluteChoice.solute9.molecularWeight","soluteChoice.solute9.concentration","soluteChoice.solute9.concentrationUnit","soluteChoice.solute10.category","soluteChoice.solute10.name","soluteChoice.solute10.molecularWeight","soluteChoice.solute10.concentration","soluteChoice.solute10.concentrationUnit","filtrationResults.rejection7","filtrationResults.rejection8","filtrationResults.rejection9","filtrationResults.rejection10","filtrationResults","commercialName","manufacturer","tfnData.nanomaterialConcentrationUnit","commercialNameOther","commercialNameOtherManufacturer","soluteChoice.solute11.category","soluteChoice.solute11.name","soluteChoice.solute11.molecularWeight","soluteChoice.solute11.concentration","soluteChoice.solute11.concentrationUnit","filtrationResults.rejection11","soluteChoice.solute12.category","soluteChoice.solute12.name","soluteChoice.solute12.molecularWeight","filtrationResults.rejection12"
"65379b6b2e5be462fc3485d8","2023-10-24T10:24:43.226Z","[""Dimethylacetamide (DMAC)""]","[""water""]","[]","[]","23","150","[""Crosslinking""]","[{""postTreatmentChemicalAgentConcentrationUnit"":[""w/v%""],""_id"":""65379b6b2e5be462fc3485da"",""postTreatment"":""Crosslinking"",""postTreatmentChemicalAgentSmiles"":""NCCN"",""postTreatmentChemicalAgentConcentration"":""6""}]","[""water""]","[""Hexane""]","[""w/v%""]","[]","[""w/v%""]","[]","CN(C)C1=CC=NC=C1","0.5","C1=C(C=C(C=C1C(=O)Cl)C(=O)Cl)C(=O)Cl","0.1",false,"Dead-end",10,25,38.5,"Dimethylsulfoxide (DMSO)","Dye","Crystal Violet (chloride salt)",407.99,0.01,"g/L",1,"[""FTIR"",""XPS"",""AFM"",""SEM""]",428,83.68,65,true,false,"Accepted","[""TFC""]","[""Polyamide""]","[]","[""Polyetherimide""]","[""Thermal treatment""]","65003a2e9af97755a1fa02ee","2023-09-12T10:15:10.663Z","2022-01-01T00:00:00.000Z","A thin-film composite polyarylester membrane prepared from orcinol and trimesoyl chloride for organic solvent nanofiltration","Scientific Report","backOffice","10.1007/s13726-022-01054-8","65003a2e9af97755a1fa02ed","Ayang Zhou and Ying Wang and M. M. A. Almijbilee and Yujie Wang and Dandan Cheng","https://doi.org/10.1007/s13726-022-01054-8",0,"Composite","NF-C","Scientific report","Interfacial Polymerization","[{""postTreatmentChemicalAgentConcentrationUnit"":[],""_id"":""65379b6b2e5be462fc3485d9"",""postTreatment"":""Thermal treatment"",""postTreatmentChemicalAgentSmiles"":""N/A"",""postTreatmentChemicalAgentConcentration"":""""}]","ISA",0.1,52,"1",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"65379b6b2e5be462fc3485dd","2023-10-24T10:24:43.447Z","[""Dimethylacetamide (DMAC)""]","[""water""]","[]","[]","23","150","[""Crosslinking""]","[{""postTreatmentChemicalAgentConcentrationUnit"":[""w/v%""],""_id"":""65379b6b2e5be462fc3485df"",""postTreatment"":""Crosslinking"",""postTreatmentChemicalAgentSmiles"":""NCCN"",""postTreatmentChemicalAgentConcentration"":""6""}]","[""water""]","[""Hexane""]","[""w/v%"",""w/v%""]","[]","[""w/v%""]","[]","CC1=CC(=CC(=C1)O)O ; CN(C)C1=CC=NC=C1","0,5 ;  0,5","C1=C(C=C(C=C1C(=O)Cl)C(=O)Cl)C(=O)Cl","0.1",false,"Dead-end",10,25,38.5,"Dimethylsulfoxide (DMSO)","Dye","Crystal Violet (chloride salt)",407.99,0.01,"g/L",1,"[""FTIR""]",,,,true,false,"Accepted","[""TFC""]","[""Polyamide""]","[]","[""Polyetherimide""]","[""Thermal treatment""]","65003a2e9af97755a1fa02ee","2023-09-12T10:15:10.663Z","2022-01-01T00:00:00.000Z","A thin-film composite polyarylester membrane prepared from orcinol and trimesoyl chloride for organic solvent nanofiltration","Scientific Report","backOffice","10.1007/s13726-022-01054-8","65003a2e9af97755a1fa02ed","Ayang Zhou and Ying Wang and M. M. A. Almijbilee and Yujie Wang and Dandan Cheng","https://doi.org/10.1007/s13726-022-01054-8",0,"Composite","NF-0,5OL","Scientific report","Interfacial Polymerization","[{""postTreatmentChemicalAgentConcentrationUnit"":[],""_id"":""65379b6b2e5be462fc3485de"",""postTreatment"":""Thermal treatment"",""postTreatmentChemicalAgentSmiles"":""N/A"",""postTreatmentChemicalAgentConcentration"":""""}]","ISA",1.1,75,"2",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"65379b6b2e5be462fc3485e2","2023-10-24T10:24:43.646Z","[""Dimethylacetamide (DMAC)""]","[""water""]","[]","[]","23","150","[""Crosslinking""]","[{""postTreatmentChemicalAgentConcentrationUnit"":[""w/v%""],""_id"":""65379b6b2e5be462fc3485e4"",""postTreatment"":""Crosslinking"",""postTreatmentChemicalAgentSmiles"":""NCCN"",""postTreatmentChemicalAgentConcentration"":""6""}]","[""water""]","[""Hexane""]","[""w/v%"",""w/v%""]","[]","[""w/v%""]","[]","CC1=CC(=CC(=C1)O)O ; CN(C)C1=CC=NC=C1","1 ;  0,5","C1=C(C=C(C=C1C(=O)Cl)C(=O)Cl)C(=O)Cl","0.1",false,"Dead-end",10,25,38.5,"Dimethylsulfoxide (DMSO)","Dye","Crystal Violet (chloride salt)",407.99,0.01,"g/L",1,"[""FTIR"",""XPS"",""AFM"",""SEM""]",535,20.81,70,true,false,"Accepted","[""TFC""]","[""Polyamide""]","[]","[""Polyetherimide""]","[""Thermal treatment""]","65003a2e9af97755a1fa02ee","2023-09-12T10:15:10.663Z","2022-01-01T00:00:00.000Z","A thin-film composite polyarylester membrane prepared from orcinol and trimesoyl chloride for organic solvent nanofiltration","Scientific Report","backOffice","10.1007/s13726-022-01054-8","65003a2e9af97755a1fa02ed","Ayang Zhou and Ying Wang and M. M. A. Almijbilee and Yujie Wang and Dandan Cheng","https://doi.org/10.1007/s13726-022-01054-8",0,"Composite","NF-1OL","Scientific report","Interfacial Polymerization","[{""postTreatmentChemicalAgentConcentrationUnit"":[],""_id"":""65379b6b2e5be462fc3485e3"",""postTreatment"":""Thermal treatment"",""postTreatmentChemicalAgentSmiles"":""N/A"",""postTreatmentChemicalAgentConcentration"":""""}]","ISA",3.1,91,"3",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"65379b6b2e5be462fc3485e7","2023-10-24T10:24:43.844Z","[""Dimethylacetamide (DMAC)""]","[""water""]","[]","[]","23","150","[""Crosslinking""]","[{""postTreatmentChemicalAgentConcentrationUnit"":[""w/v%""],""_id"":""65379b6b2e5be462fc3485e9"",""postTreatment"":""Crosslinking"",""postTreatmentChemicalAgentSmiles"":""NCCN"",""postTreatmentChemicalAgentConcentration"":""6""}]","[""water""]","[""Hexane""]","[""w/v%"",""w/v%""]","[]","[""w/v%""]","[]","CC1=CC(=CC(=C1)O)O ; CN(C)C1=CC=NC=C1","1,5 ;  0,5","C1=C(C=C(C=C1C(=O)Cl)C(=O)Cl)C(=O)Cl","0.1",false,"Dead-end",10,25,38.5,"Dimethylsulfoxide (DMSO)","Dye","Crystal Violet (chloride salt)",407.99,0.01,"g/L",1,"[]",,,,true,false,"Accepted","[""TFC""]","[""Polyamide""]","[]","[""Polyetherimide""]","[""Thermal treatment""]","65003a2e9af97755a1fa02ee","2023-09-12T10:15:10.663Z","2022-01-01T00:00:00.000Z","A thin-film composite polyarylester membrane prepared from orcinol and trimesoyl chloride for organic solvent nanofiltration","Scientific Report","backOffice","10.1007/s13726-022-01054-8","65003a2e9af97755a1fa02ed","Ayang Zhou and Ying Wang and M. M. A. Almijbilee and Yujie Wang and Dandan Cheng","https://doi.org/10.1007/s13726-022-01054-8",0,"Composite","NF-1,5OL","Scientific report","Interfacial Polymerization","[{""postTreatmentChemicalAgentConcentrationUnit"":[],""_id"":""65379b6b2e5be462fc3485e8"",""postTreatment"":""Thermal treatment"",""postTreatmentChemicalAgentSmiles"":""N/A"",""postTreatmentChemicalAgentConcentration"":""""}]","ISA",2.7,92,"4",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"65379b6c2e5be462fc3485ec","2023-10-24T10:24:44.037Z","[""Dimethylacetamide (DMAC)""]","[""water""]","[]","[]","23","150","[""Crosslinking""]","[{""postTreatmentChemicalAgentConcentrationUnit"":[""w/v%""],""_id"":""65379b6c2e5be462fc3485ee"",""postTreatment"":""Crosslinking"",""postTreatmentChemicalAgentSmiles"":""NCCN"",""postTreatmentChemicalAgentConcentration"":""6""}]","[""water""]","[""Hexane""]","[""w/v%"",""w/v%""]","[]","[""w/v%""]","[]","CC1=CC(=CC(=C1)O)O ; CN(C)C1=CC=NC=C1","2 ;  0,5","C1=C(C=C(C=C1C(=O)Cl)C(=O)Cl)C(=O)Cl","0.1",false,"Dead-end",10,25,38.5,"Dimethylsulfoxide (DMSO)","Dye","Crystal Violet (chloride salt)",407.99,0.01,"g/L",1,"[""FTIR""]",618,7.605,72,true,false,"Accepted","[""TFC""]","[""Polyamide""]","[]","[""Polyetherimide""]","[""Thermal treatment""]","65003a2e9af97755a1fa02ee","2023-09-12T10:15:10.663Z","2022-01-01T00:00:00.000Z","A thin-film composite polyarylester membrane prepared from orcinol and trimesoyl chloride for organic solvent nanofiltration","Scientific Report","backOffice","10.1007/s13726-022-01054-8","65003a2e9af97755a1fa02ed","Ayang Zhou and Ying Wang and M. M. A. Almijbilee and Yujie Wang and Dandan Cheng","https://doi.org/10.1007/s13726-022-01054-8",0,"Composite","NF-2OL","Scientific report","Interfacial Polymerization","[{""postTreatmentChemicalAgentConcentrationUnit"":[],""_id"":""65379b6c2e5be462fc3485ed"",""postTreatment"":""Thermal treatment"",""postTreatmentChemicalAgentSmiles"":""N/A"",""postTreatmentChemicalAgentConcentration"":""""}]","ISA",2.6,91,"5",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"65379b6c2e5be462fc3485f1","2023-10-24T10:24:44.245Z","[""Dimethylacetamide (DMAC)""]","[""water""]","[]","[]","23","150","[""Crosslinking""]","[{""postTreatmentChemicalAgentConcentrationUnit"":[""w/v%""],""_id"":""65379b6c2e5be462fc3485f3"",""postTreatment"":""Crosslinking"",""postTreatmentChemicalAgentSmiles"":""NCCN"",""postTreatmentChemicalAgentConcentration"":""6""}]","[""water""]","[""Hexane""]","[""w/v%"",""w/v%""]","[]","[""w/v%""]","[]","CC1=CC(=CC(=C1)O)O ; CN(C)C1=CC=NC=C1","1 ;  0,5","C1=C(C=C(C=C1C(=O)Cl)C(=O)Cl)C(=O)Cl","0.1",false,"Dead-end",10,25,38.5,"Dimethylsulfoxide (DMSO)","Dye","Crystal Violet (chloride salt)",407.99,0.01,"g/L",1,"[""XPS"",""SEM"",""AFM""]",,32.19,69,true,false,"Accepted","[""TFC""]","[""Polyamide""]","[]","[""Polyetherimide""]","[""Thermal treatment""]","65003a2e9af97755a1fa02ee","2023-09-12T10:15:10.663Z","2022-01-01T00:00:00.000Z","A thin-film composite polyarylester membrane prepared from orcinol and trimesoyl chloride for organic solvent nanofiltration","Scientific Report","backOffice","10.1007/s13726-022-01054-8","65003a2e9af97755a1fa02ed","Ayang Zhou and Ying Wang and M. M. A. Almijbilee and Yujie Wang and Dandan Cheng","https://doi.org/10.1007/s13726-022-01054-8",0,"Composite","NF-1OL-1W","Scientific report","Interfacial Polymerization","[{""postTreatmentChemicalAgentConcentrationUnit"":[],""_id"":""65379b6c2e5be462fc3485f2"",""postTreatment"":""Thermal treatment"",""postTreatmentChemicalAgentSmiles"":""N/A"",""postTreatmentChemicalAgentConcentration"":""""}]","ISA",1.8,98,"6",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"65379b6c2e5be462fc3485f6","2023-10-24T10:24:44.513Z","[""Dimethylacetamide (DMAC)""]","[""water""]","[]","[]","23","150","[""Crosslinking""]","[{""postTreatmentChemicalAgentConcentrationUnit"":[""w/v%""],""_id"":""65379b6c2e5be462fc3485f8"",""postTreatment"":""Crosslinking"",""postTreatmentChemicalAgentSmiles"":""NCCN"",""postTreatmentChemicalAgentConcentration"":""6""}]","[""water""]","[""Hexane""]","[""w/v%"",""w/v%""]","[]","[""w/v%""]","[]","CC1=CC(=CC(=C1)O)O ; CN(C)C1=CC=NC=C1","1 ;  0,5","C1=C(C=C(C=C1C(=O)Cl)C(=O)Cl)C(=O)Cl","0.1",false,"Dead-end",10,25,38.5,"Dimethylsulfoxide (DMSO)","Dye","Crystal Violet (chloride salt)",407.99,0.01,"g/L",1,"[]",,,,true,false,"Accepted","[""TFC""]","[""Polyamide""]","[]","[""Polyetherimide""]","[""Thermal treatment""]","65003a2e9af97755a1fa02ee","2023-09-12T10:15:10.663Z","2022-01-01T00:00:00.000Z","A thin-film composite polyarylester membrane prepared from orcinol and trimesoyl chloride for organic solvent nanofiltration","Scientific Report","backOffice","10.1007/s13726-022-01054-8","65003a2e9af97755a1fa02ed","Ayang Zhou and Ying Wang and M. M. A. Almijbilee and Yujie Wang and Dandan Cheng","https://doi.org/10.1007/s13726-022-01054-8",0,"Composite","NF-1OL-2W","Scientific report","Interfacial Polymerization","[{""postTreatmentChemicalAgentConcentrationUnit"":[],""_id"":""65379b6c2e5be462fc3485f7"",""postTreatment"":""Thermal treatment"",""postTreatmentChemicalAgentSmiles"":""N/A"",""postTreatmentChemicalAgentConcentration"":""""}]","ISA",0.09,99,"7",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"65379b6c2e5be462fc3485fb","2023-10-24T10:24:44.713Z","[""Dimethylacetamide (DMAC)""]","[""water""]","[]","[]","23","150","[""Crosslinking""]","[{""postTreatmentChemicalAgentConcentrationUnit"":[""w/v%""],""_id"":""65379b6c2e5be462fc3485fd"",""postTreatment"":""Crosslinking"",""postTreatmentChemicalAgentSmiles"":""NCCN"",""postTreatmentChemicalAgentConcentration"":""6""}]","[""water""]","[""Hexane""]","[""w/v%"",""w/v%""]","[]","[""w/v%""]","[]","CC1=CC(=CC(=C1)O)O ; CN(C)C1=CC=NC=C1","1 ;  0,5","C1=C(C=C(C=C1C(=O)Cl)C(=O)Cl)C(=O)Cl","0.1",false,"Dead-end",10,25,38.5,"Dimethylsulfoxide (DMSO)","Dye","Crystal Violet (chloride salt)",407.99,0.01,"g/L",1,"[]",,,,true,false,"Accepted","[""TFC""]","[""Polyamide""]","[]","[""Polyetherimide""]","[""Thermal treatment""]","65003a2e9af97755a1fa02ee","2023-09-12T10:15:10.663Z","2022-01-01T00:00:00.000Z","A thin-film composite polyarylester membrane prepared from orcinol and trimesoyl chloride for organic solvent nanofiltration","Scientific Report","backOffice","10.1007/s13726-022-01054-8","65003a2e9af97755a1fa02ed","Ayang Zhou and Ying Wang and M. M. A. Almijbilee and Yujie Wang and Dandan Cheng","https://doi.org/10.1007/s13726-022-01054-8",0,"Composite","NF-1OL-0W","Scientific report","Interfacial Polymerization","[{""postTreatmentChemicalAgentConcentrationUnit"":[],""_id"":""65379b6c2e5be462fc3485fc"",""postTreatment"":""Thermal treatment"",""postTreatmentChemicalAgentSmiles"":""N/A"",""postTreatmentChemicalAgentConcentration"":""""}]","ISA",2.3,87,"8",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"65379b6c2e5be462fc348600","2023-10-24T10:24:44.906Z","[""Dimethylacetamide (DMAC)""]","[""water""]","[]","[]","23","150","[""Crosslinking""]","[{""postTreatmentChemicalAgentConcentrationUnit"":[""w/v%""],""_id"":""65379b6c2e5be462fc348602"",""postTreatment"":""Crosslinking"",""postTreatmentChemicalAgentSmiles"":""NCCN"",""postTreatmentChemicalAgentConcentration"":""6""}]","[""water""]","[""Hexane""]","[""w/v%"",""w/v%""]","[]","[""w/v%""]","[]","CC1=CC(=CC(=C1)O)O ; CN(C)C1=CC=NC=C1","1 ;  0,5","C1=C(C=C(C=C1C(=O)Cl)C(=O)Cl)C(=O)Cl","0.1",false,"Dead-end",10,25,38.5,"Dimethylsulfoxide (DMSO)","Dye","Crystal Violet (chloride salt)",407.99,0.01,"g/L",1,"[]",,,,true,false,"Accepted","[""TFC""]","[""Polyamide""]","[]","[""Polyetherimide""]","[""Thermal treatment""]","65003a2e9af97755a1fa02ee","2023-09-12T10:15:10.663Z","2022-01-01T00:00:00.000Z","A thin-film composite polyarylester membrane prepared from orcinol and trimesoyl chloride for organic solvent nanofiltration","Scientific Report","backOffice","10.1007/s13726-022-01054-8","65003a2e9af97755a1fa02ed","Ayang Zhou and Ying Wang and M. M. A. Almijbilee and Yujie Wang and Dandan Cheng","https://doi.org/10.1007/s13726-022-01054-8",0,"Composite","NF-1OL-0,5W","Scientific report","Interfacial Polymerization","[{""postTreatmentChemicalAgentConcentrationUnit"":[],""_id"":""65379b6c2e5be462fc348601"",""postTreatment"":""Thermal treatment"",""postTreatmentChemicalAgentSmiles"":""N/A"",""postTreatmentChemicalAgentConcentration"":""""}]","ISA",1.55,90,"9",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"65379b6d2e5be462fc348605","2023-10-24T10:24:45.131Z","[""Dimethylacetamide (DMAC)""]","[""water""]","[]","[]","23","150","[""Crosslinking""]","[{""postTreatmentChemicalAgentConcentrationUnit"":[""w/v%""],""_id"":""65379b6d2e5be462fc348607"",""postTreatment"":""Crosslinking"",""postTreatmentChemicalAgentSmiles"":""NCCN"",""postTreatmentChemicalAgentConcentration"":""6""}]","[""water""]","[""Hexane""]","[""w/v%"",""w/v%""]","[]","[""w/v%""]","[]","CC1=CC(=CC(=C1)O)O ; CN(C)C1=CC=NC=C1","1 ;  0,5","C1=C(C=C(C=C1C(=O)Cl)C(=O)Cl)C(=O)Cl","0.1",false,"Dead-end",10,25,38.5,"Dimethylsulfoxide (DMSO)","Dye","Crystal Violet (chloride salt)",407.99,0.01,"g/L",1,"[]",,,,true,false,"Accepted","[""TFC""]","[""Polyamide""]","[]","[""Polyetherimide""]","[""Thermal treatment""]","65003a2e9af97755a1fa02ee","2023-09-12T10:15:10.663Z","2022-01-01T00:00:00.000Z","A thin-film composite polyarylester membrane prepared from orcinol and trimesoyl chloride for organic solvent nanofiltration","Scientific Report","backOffice","10.1007/s13726-022-01054-8","65003a2e9af97755a1fa02ed","Ayang Zhou and Ying Wang and M. M. A. Almijbilee and Yujie Wang and Dandan Cheng","https://doi.org/10.1007/s13726-022-01054-8",0,"Composite","NF-1OL-1,5W","Scientific report","Interfacial Polymerization","[{""postTreatmentChemicalAgentConcentrationUnit"":[],""_id"":""65379b6d2e5be462fc348606"",""postTreatment"":""Thermal treatment"",""postTreatmentChemicalAgentSmiles"":""N/A"",""postTreatmentChemicalAgentConcentration"":""""}]","ISA",0.7,99,"10",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"65379b6d2e5be462fc34860a","2023-10-24T10:24:45.335Z","[""Dimethylacetamide (DMAC)""]","[""water""]","[]","[]","23","150","[""Crosslinking""]","[{""postTreatmentChemicalAgentConcentrationUnit"":[""w/v%""],""_id"":""65379b6d2e5be462fc34860c"",""postTreatment"":""Crosslinking"",""postTreatmentChemicalAgentSmiles"":""NCCN"",""postTreatmentChemicalAgentConcentration"":""6""}]","[""water""]","[""Hexane""]","[""w/v%"",""w/v%""]","[]","[""w/v%""]","[]","CC1=CC(=CC(=C1)O)O ; CN(C)C1=CC=NC=C1","1 ;  0,5","C1=C(C=C(C=C1C(=O)Cl)C(=O)Cl)C(=O)Cl","0.1",false,"Dead-end",10,25,38.5,"Dimethylsulfoxide (DMSO)","Dye","Methyl red",269.3,,,1,"[]",,20.81,70,true,false,"Accepted","[""TFC""]","[""Polyamide""]","[]","[""Polyetherimide""]","[""Thermal treatment""]","65003a2e9af97755a1fa02ee","2023-09-12T10:15:10.663Z","2022-01-01T00:00:00.000Z","A thin-film composite polyarylester membrane prepared from orcinol and trimesoyl chloride for organic solvent nanofiltration","Scientific Report","backOffice","10.1007/s13726-022-01054-8","65003a2e9af97755a1fa02ed","Ayang Zhou and Ying Wang and M. M. A. Almijbilee and Yujie Wang and Dandan Cheng","https://doi.org/10.1007/s13726-022-01054-8",0,"Composite","NF-1OL","Scientific report","Interfacial Polymerization","[{""postTreatmentChemicalAgentConcentrationUnit"":[],""_id"":""65379b6d2e5be462fc34860b"",""postTreatment"":""Thermal treatment"",""postTreatmentChemicalAgentSmiles"":""N/A"",""postTreatmentChemicalAgentConcentration"":""""}]","ISA",,80,"11",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"65379b6d2e5be462fc34860f","2023-10-24T10:24:45.535Z","[""Dimethylacetamide (DMAC)""]","[""water""]","[]","[]","23","150","[""Crosslinking""]","[{""postTreatmentChemicalAgentConcentrationUnit"":[""w/v%""],""_id"":""65379b6d2e5be462fc348611"",""postTreatment"":""Crosslinking"",""postTreatmentChemicalAgentSmiles"":""NCCN"",""postTreatmentChemicalAgentConcentration"":""6""}]","[""water""]","[""Hexane""]","[""w/v%"",""w/v%""]","[]","[""w/v%""]","[]","CC1=CC(=CC(=C1)O)O ; CN(C)C1=CC=NC=C1","1 ;  0,5","C1=C(C=C(C=C1C(=O)Cl)C(=O)Cl)C(=O)Cl","0.1",false,"Dead-end",10,25,38.5,"Dimethylsulfoxide (DMSO)","Dye","Methyl red",269.3,,,1,"[""XPS"",""SEM"",""AFM""]",,32.19,69,true,false,"Accepted","[""TFC""]","[""Polyamide""]","[]","[""Polyetherimide""]","[""Thermal treatment""]","65003a2e9af97755a1fa02ee","2023-09-12T10:15:10.663Z","2022-01-01T00:00:00.000Z","A thin-film composite polyarylester membrane prepared from orcinol and trimesoyl chloride for organic solvent nanofiltration","Scientific Report","backOffice","10.1007/s13726-022-01054-8","65003a2e9af97755a1fa02ed","Ayang Zhou and Ying Wang and M. M. A. Almijbilee and Yujie Wang and Dandan Cheng","https://doi.org/10.1007/s13726-022-01054-8",0,"Composite","NF-1OL-1W","Scientific report","Interfacial Polymerization","[{""postTreatmentChemicalAgentConcentrationUnit"":[],""_id"":""65379b6d2e5be462fc348610"",""postTreatment"":""Thermal treatment"",""postTreatmentChemicalAgentSmiles"":""N/A"",""postTreatmentChemicalAgentConcentration"":""""}]","ISA",,93,"12",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
